Commit,Message,Date,Version,Module,Methods,Stable,Partial,Unstable,Any,Vararg,Generic,TcFail,NoFuel
3cdb4055,"Merge pull request #2003 from coroa/moi09","2019-08-18 17:55:38 +0200",0.19.2,JuMP,584,177,112,22,141,25,100,2,5
a1c4f978,"Merge pull request #1974 from raphaelsaavedra/master","2019-08-20 11:44:44 +0200",0.19.2,JuMP,585,177,112,22,142,25,100,2,5
b0f71897,"Merge pull request #1949 from rtwalker/rw/raw_status","2019-08-20 11:50:12 +0200",0.19.2,JuMP,586,177,112,23,142,25,100,2,5
be85238d,"Remove dictionaries tracking SingleVariable constraints (#2032)","2019-08-20 15:53:38 -0400",0.19.2,JuMP,591,167,112,28,153,25,99,1,6
4ef4c103,"Merge pull request #1960 from JuliaOpt/bl/add_to_function_constant","2019-08-23 10:03:26 +0200",0.19.2,JuMP,594,167,112,28,156,25,99,0,7
c1b730cc,"Update to MOI v0.9.1","2019-08-23 13:17:59 +0200",0.19.2,JuMP,594,167,112,28,156,25,99,2,5
3d177c40,"Merge pull request #2041 from JuliaOpt/bl/dual_objective_value","2019-08-24 21:43:27 +0200",0.19.2,JuMP,595,168,112,28,156,25,99,1,6
00056c4c,"v0.20.0","2019-08-25 10:50:14 +0200",0.20.0,JuMP,595,168,112,28,156,25,99,2,5
6968fbee,"Remove MOIB","2019-08-25 14:14:15 +0200",0.20.0,JuMP,595,168,112,28,156,25,99,1,6
3caea82d,"Add an example of column generation (#2010)","2019-09-07 03:54:28 +0200",0.20.0,JuMP,595,168,112,28,156,25,99,2,5
54e611f5,"[[un]set_]time_limit_sec (#2053)","2019-09-15 17:42:37 +0200",0.20.0,JuMP,598,168,112,30,157,25,99,1,6
bc53d262,"Merge pull request #2063 from JuliaOpt/bl/sparse_dot","2019-09-21 21:36:04 +0200",0.20.0,JuMP,606,168,114,30,163,25,99,2,5
5c799ef2,"Merge pull request #2067 from JuliaOpt/bl/README_solver_list","2019-09-21 21:36:49 +0200",0.20.0,JuMP,606,168,114,30,163,25,99,1,6
1a4f6635,"Merge pull request #2071 from JuliaOpt/bl/sdpt3","2019-09-30 23:48:16 +0200",0.20.0,JuMP,606,168,114,30,163,25,99,2,5
04735d26,"Merge pull request #2070 from JuliaOpt/bl/@container","2019-10-04 10:27:14 +0200",0.20.0,JuMP,606,166,118,28,163,25,99,2,5
ea3eec38,"Merge pull request #2080 from mtanneau/master","2019-10-12 14:20:00 +0200",0.20.0,JuMP,606,166,118,28,163,25,99,0,7
1ac0d606,"Now deepcopy(::AbstractModel) calls error (#2079)","2019-10-19 11:52:18 -0300",0.20.0,JuMP,606,166,118,28,163,25,99,2,5
5c27e70c,"Merge pull request #2089 from ericphanson/patch-1","2019-10-25 20:50:00 +0200",0.20.0,JuMP,606,166,118,28,163,25,99,1,6
13b34a7e,"Merge pull request #2091 from dourouc05/dourouc05-patch-typo-lp-sensitivity","2019-10-31 08:33:01 +0100",0.20.0,JuMP,606,166,118,28,163,25,99,2,5
9baede15,"Merge pull request #2095 from JuliaOpt/ml/documenter","2019-11-02 16:18:43 -0400",0.20.0,JuMP,606,166,118,28,163,25,99,0,7
fc2bb8ad,"Deprecate with_optimizer (#2090)","2019-11-04 09:13:53 -0500",0.20.0,JuMP,607,164,117,28,166,26,99,1,6
b780023b,"Minor JuMP 1.0 roadmap update (#2096)","2019-11-06 14:57:31 -0500",0.20.0,JuMP,607,164,117,28,166,26,99,2,5
015b38a3,"Merge pull request #2092 from JuliaOpt/bl/indicator","2019-11-19 16:11:01 +0100",0.20.0,JuMP,612,166,117,28,167,26,101,2,5
fd5b66ef,"Callbacks Episode II: revenge of the solver-independent implementation (#2101)","2019-11-20 12:00:09 -0600",0.20.0,JuMP,613,166,117,28,168,26,101,2,5
f414ef0d,"Merge pull request #2108 from JuliaOpt/bl/con_name","2019-11-23 23:55:54 +0100",0.20.0,JuMP,615,166,117,28,170,26,101,1,6
326017cd,"Add support for multiple solutions (#2100)","2019-11-26 10:39:07 -0600",0.20.0,JuMP,628,178,117,28,171,26,101,1,6
d2f6a29e,"Minor tweaks to solutions.md (#2110)","2019-11-27 18:07:09 -0500",0.20.0,JuMP,628,178,117,28,171,26,101,2,5
afec045c,"Merge pull request #2129 from JuliaOpt/bl/moiv0.9.9","2019-12-29 16:15:07 +0100",0.20.0,JuMP,634,184,117,28,171,26,101,1,6
04546c9f,"Add documentation on performance and work-around for sparse variable creation (#2126)","2019-12-29 19:35:35 +0100",0.20.0,JuMP,634,184,117,28,171,26,101,2,5
00f60735,"Merge pull request #2130 from JuliaOpt/bl/sdpnal","2020-01-03 10:21:13 +0100",0.20.0,JuMP,634,184,117,28,171,26,101,0,7
cdd734fa,"Merge pull request #2107 from JuliaOpt/bl/mutable_arithmetics","2020-01-03 16:41:53 +0100",0.20.0,JuMP,530,174,90,27,141,25,70,2,1
47eb01f2,"Merge pull request #2128 from JuliaOpt/bl/macro_constrained_variables","2020-01-04 10:05:19 +0100",0.20.0,JuMP,536,177,94,27,140,25,70,2,1
145133c0,"Add complementarity constraints (#2132)","2020-01-07 16:21:03 +0100",0.20.0,JuMP,542,181,95,27,141,25,70,0,3
7a656f69,"Update documentation and examples for callbacks in automatic mode (#2134)","2020-01-07 16:20:19 -0600",0.20.0,JuMP,542,181,95,27,141,25,70,2,1
7be2ae8e,"Create a version of method delete that deletes a vector of variables. (#2135)","2020-01-12 11:16:45 -0300",0.20.0,JuMP,544,183,95,27,141,25,70,2,1
