Module,Methods,Stable,Partial,Unstable,Any,Vararg,Generic,TcFail,NoFuel,Version,Commit,Message,Date
MLJ,71,14,9,4,32,1,11,0,0,"MLJ@0.1.0","93f1cf91","Merge pull request #17 from ysimillides/master","2018-11-11 13:18:52 +1300"
MLJ,69,14,9,4,30,1,11,0,0,"MLJ@0.1.0","c38d7c45","replace fit2 -> update. dump update for decision trees and knn","2018-11-14 18:04:37 +1300"
MLJ,93,18,16,4,37,1,17,0,0,"MLJ@0.1.0","a284a515","Add learning networks API (more tests needed). Minor MLJ.jl additions and doc changes.","2018-11-16 10:22:34 +1300"
MLJ,95,18,16,4,39,1,17,0,0,"MLJ@0.1.0","ea2fed77","Add FeatureSelector transformer","2018-11-16 11:14:49 +1300"
MLJ,99,18,18,4,41,1,17,0,0,"MLJ@0.1.0","4398dce8","Add tests for networks.jl + minor changes","2018-11-16 14:07:55 +1300"
MLJ,118,37,20,5,44,1,11,0,0,"MLJ@0.1.0","8232f918","Node->AbstractNode, SourceNode->Source LearningNode->Node","2018-11-22 15:32:57 +0000"
MLJ,127,38,20,5,51,1,11,0,1,"MLJ@0.1.0","1884f36c","Add some forgotten files! Simplify Decision Tree constructor","2018-11-23 14:19:01 +0000"
MLJ,132,38,20,5,54,3,11,0,1,"MLJ@0.1.0","8fc80e7d","Minor syntax changes for trainable models","2018-11-26 06:17:52 +0000"
MLJ,135,38,20,5,57,3,11,0,1,"MLJ@0.1.0","0dcc6945","Fix bug: rows called incorrectly by fit! on NodalTrainableModels","2018-11-26 08:15:09 +0000"
MLJ,137,39,21,5,57,3,11,0,1,"MLJ@0.1.0","de49f1ac","Throw error if node has multiple sources and is called on new data","2018-11-26 13:05:53 +0000"
MLJ,138,38,17,5,51,15,11,0,1,"MLJ@0.1.0","f4953998","Give operations some TLC","2018-11-26 17:15:04 +0000"
MLJ,131,33,16,6,50,15,10,0,1,"MLJ@0.1.0","eba112be","Add DecisionTree to test dependencies.","2018-11-27 09:13:28 +0000"
