Module,Methods,Stable,Partial,Unstable,Any,Vararg,Generic,TcFail,NoFuel,Version,Commit,Message,Date
ModelingToolkit,241,192,0,7,39,3,0,0,0,"ModelingToolkit@0.3.0","1cabfea45","add missing stdlib packages","2019-05-27 21:31:58 -0400"
ModelingToolkit,243,192,0,8,40,3,0,0,0,"ModelingToolkit@0.3.0","2cd451f29","Merge pull request #144 from JuliaDiffEq/jac","2019-07-07 19:00:45 -0400"
ModelingToolkit,244,193,0,7,39,4,1,0,0,"ModelingToolkit@0.4.0","1a4865335","Use dispatch for in-place out-of-place function versions","2019-07-08 18:30:03 -0400"
ModelingToolkit,246,192,0,7,42,4,1,0,0,"ModelingToolkit@0.4.0","ddae54cde","finish up dispatching-based versions","2019-07-08 21:22:40 -0400"
ModelingToolkit,247,192,1,7,42,4,1,0,0,"ModelingToolkit@0.5.0","93fe6bdb2","Merge pull request #146 from YingboMa/myb/modelingtoolkitize","2019-07-09 08:30:36 -0400"
ModelingToolkit,252,192,1,7,47,4,1,0,0,"ModelingToolkit@0.5.0","0c833cba9","Merge pull request #153 from saschatimme/st/variable-arrays","2019-07-27 05:49:27 -0400"
ModelingToolkit,255,192,1,7,49,4,2,0,0,"ModelingToolkit@0.5.0","bdcf0357c","Merge pull request #155 from JuliaDiffEq/builder","2019-07-27 23:57:50 -0400"
ModelingToolkit,266,195,1,9,54,4,2,0,1,"ModelingToolkit@0.5.0","5a06b38a3","Merge pull request #156 from JuliaDiffEq/simplified_expr","2019-07-28 12:03:24 -0400"
ModelingToolkit,267,195,1,9,56,4,1,0,1,"ModelingToolkit@0.6.4","9b8e9c44d","Merge pull request #173 from JuliaDiffEq/distributed","2019-09-17 13:06:39 -0400"
ModelingToolkit,268,195,1,9,56,4,2,0,1,"ModelingToolkit@0.7.2","b00e96bdf","Merge pull request #180 from JuliaDiffEq/pde","2019-09-21 08:50:12 -0400"
ModelingToolkit,237,163,2,9,56,4,2,0,1,"ModelingToolkit@0.8.0","3f4cc0a0c","Merge remote-tracking branch 'origin/master'","2019-10-05 15:03:11 -0400"
ModelingToolkit,234,160,2,9,56,4,2,0,1,"ModelingToolkit@0.8.0","015a49acd","Merge pull request #199 from JuliaDiffEq/ChrisRackauckas-patch-1","2019-11-17 23:07:15 -0500"
ModelingToolkit,235,160,2,9,57,4,2,0,1,"ModelingToolkit@1.0.0","a980c855b","Update nonlinear_system.jl","2019-12-11 04:45:19 -0500"
ModelingToolkit,238,160,2,9,60,4,2,0,1,"ModelingToolkit@1.0.2","1bebe9c72","more generate_function controls","2019-12-11 13:50:58 -0500"
ModelingToolkit,244,161,2,9,65,4,2,0,1,"ModelingToolkit@1.0.2","628868016","variable ordering","2019-12-12 11:11:43 -0500"
ModelingToolkit,247,164,2,9,65,4,2,0,1,"ModelingToolkit@1.0.3","988fde48e","Merge pull request #207 from JuliaDiffEq/compathelper/new_version/2019-12-16-03-07-00-586-3838480095","2019-12-15 23:34:55 -0500"
ModelingToolkit,248,164,2,9,65,4,3,0,1,"ModelingToolkit@1.2.0","4933631bb","Merge pull request #236 from JuliaDiffEq/+","2020-02-07 10:11:24 -0500"
ModelingToolkit,250,166,2,9,65,4,3,0,1,"ModelingToolkit@1.2.2","759137328","add ambiguity fixes","2020-02-07 15:44:29 -0500"
ModelingToolkit,244,159,2,9,65,4,4,0,1,"ModelingToolkit@1.2.3","2473af1e0","Merge pull request #238 from JuliaDiffEq/myb/n-ary","2020-02-07 17:45:07 -0500"
ModelingToolkit,245,157,4,9,66,4,4,0,1,"ModelingToolkit@1.2.4","2faa051cb","Merge pull request #240 from JuliaDiffEq/myb/const","2020-02-07 22:20:22 -0500"
ModelingToolkit,277,189,4,9,66,4,4,0,1,"ModelingToolkit@1.2.6","9fc185661","Merge pull request #245 from JuliaDiffEq/compathelper/new_version/2020-02-17-15-06-08-845-1385444628","2020-02-17 14:22:59 -0500"
ModelingToolkit,279,189,6,9,66,4,4,0,1,"ModelingToolkit@1.2.6","74fc3dc02","Merge pull request #246 from JuliaDiffEq/latexify_ode","2020-02-20 09:04:01 -0500"
ModelingToolkit,287,194,6,9,69,4,4,0,1,"ModelingToolkit@1.2.9","8c274a76c","add get_variables","2020-03-20 23:33:48 -0400"
ModelingToolkit,298,197,7,10,75,4,4,0,1,"ModelingToolkit@1.3.1","5a6de343b","Merge remote-tracking branch 'origin/master'","2020-03-20 23:34:00 -0400"
