Module,Methods,Stable,Partial,Unstable,Any,Vararg,Generic,TcFail,NoFuel,Version,Commit,Message,Date
PackageCompiler,48,35,0,0,13,0,0,0,0,"PackageCompiler@1.2.1","ec651fd","Ensure `@artifact` is skipped on non-windows platforms (#443)","2020-09-24 00:39:54 -0700"
PackageCompiler,51,38,0,0,13,0,0,0,0,"PackageCompiler@1.2.3","15a6268","Update for 1.6 linking and handle stdlibs that aren't in the sysimage (#471)","2020-12-09 03:36:19 -0500"
PackageCompiler,67,48,0,0,19,0,0,0,0,"PackageCompiler@1.2.8","3e69bcc","Add `create_library` function (#490)","2021-07-29 04:29:58 -0700"
PackageCompiler,68,48,0,0,20,0,0,0,0,"PackageCompiler@1.3.0","a7b03c1","Add include_lazy_artifacts flag to create_app (issues/464). (#529)","2021-09-13 11:36:30 +0200"
PackageCompiler,69,49,0,0,20,0,0,0,0,"PackageCompiler@1.4.2","8a380e2","Merge pull request #538 from JuliaLang/kc/rpath","2021-09-16 06:13:03 -0700"
PackageCompiler,70,50,0,0,20,0,0,0,0,"PackageCompiler@1.5.0","b01a7f5","remove more pre 1.6 code and simplify kwarg passing (#542)","2021-09-17 18:43:43 +0200"
PackageCompiler,69,49,0,0,20,0,0,0,0,"PackageCompiler@1.5.0","434ab4a","remove unused function (#549)","2021-09-23 12:52:36 +0200"
PackageCompiler,68,49,0,0,19,0,0,0,0,"PackageCompiler@1.5.0","ddfb8c0","fix assumption that Pkg is loadable in a different project (#557)","2021-09-27 17:34:23 +0200"
PackageCompiler,67,49,0,0,18,0,0,0,0,"PackageCompiler@1.6.0","0d84949","allow passing on flags with the compiler (#568)","2021-09-30 14:05:27 +0200"
PackageCompiler,68,49,0,0,19,0,0,0,0,"PackageCompiler@1.6.0","10b4b95","bundle Julia executable and Project.toml to get Distributed working (#572)","2021-10-03 20:46:07 +0200"
PackageCompiler,67,49,0,0,18,0,0,0,0,"PackageCompiler@1.6.0","6f4e3cc","fix library used for creating sysimage on debug builds of Julia (#580)","2021-10-06 15:26:26 +0200"
PackageCompiler,68,49,0,0,19,0,0,0,0,"PackageCompiler@1.7.1","bba3370","fixup regression in precompilation before creating sysimage (#589)","2021-10-09 09:59:34 +0200"
PackageCompiler,62,43,0,0,19,0,0,0,0,"PackageCompiler@2.0.0-dev","e4716cc","remove support for replacing default sysimage","2021-09-23 10:29:20 +0200"
PackageCompiler,63,44,0,0,19,0,0,0,0,"PackageCompiler@2.0.0-dev","0fe077a","use g++/clang++ for sysimage (#602)","2021-10-13 14:03:45 +0200"
PackageCompiler,65,44,0,0,21,0,0,0,0,"PackageCompiler@2.0.0-dev","ba2eb49","print some info about bundled artifacts (#609)","2021-10-15 19:23:40 +0200"
PackageCompiler,58,35,0,0,23,0,0,0,0,"PackageCompiler@2.0.0-dev","1b26a52","some general autumn cleaning (#612)","2021-10-21 15:52:41 +0200"
PackageCompiler,58,36,0,0,22,0,0,0,0,"PackageCompiler@2.0.0-dev","3153868","add support for creating multiple executables for an app (#618)","2021-10-21 21:55:53 +0200"
PackageCompiler,59,37,0,0,22,0,0,0,0,"PackageCompiler@2.0.0-dev","87be14b","warn for create_library and create_app on non-official builds (#617)","2021-10-22 13:04:02 +0200"
PackageCompiler,61,39,0,0,22,0,0,0,0,"PackageCompiler@2.0.6","96dd5f3","fix lazy artifacts (#696)","2022-07-04 08:55:28 +0200"
PackageCompiler,62,39,0,0,23,0,0,0,0,"PackageCompiler@2.0.7","b364d73","also bundle certificate (#711)","2022-08-08 19:26:34 +0200"
PackageCompiler,64,41,0,0,23,0,0,0,0,"PackageCompiler@2.1.0","376e3bf","Factor out the ""find compiler"" logic into a separate `get_compiler_cmd` function (#731)","2022-10-17 12:20:24 -0400"
PackageCompiler,65,41,0,0,24,0,0,0,0,"PackageCompiler@2.1.0","2694f8c","Monitor for low free memory during sysimage generation (#740)","2022-11-23 14:13:54 -0500"
